Account, Point of Sale,   Business Type,   Product,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
Revenue % of GB,Airasiago HK,Merchant,Tshop,15.227928%,14.917295%,18.124531%,16.879631%,16.882277%,16.999737%,16.861454%,16.814295%,17.210762%,17.076550%,17.369527%,15.741165%
GP % of GB,Airasiago HK,Merchant,Tshop,12.728539%,12.417906%,15.625143%,14.380243%,14.382888%,14.500349%,14.362066%,14.314906%,14.711374%,14.577162%,14.870139%,13.241777%
Revenue % of GB,Airasiago HK,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago HK,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago HK,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago HK,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago ID,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago ID,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago ID,Agency,Flight,-0.018314%,-0.018314%,3.920907%,0.841244%,0.887330%,4.170384%,0.944050%,0.862676%,4.842899%,0.973887%,0.933257%,5.534846%
GP % of GB,Airasiago ID,Agency,Flight,-0.968102%,-0.968102%,2.971118%,-0.108544%,-0.062458%,3.220595%,-0.005738%,-0.087112%,3.893110%,0.024099%,-0.016532%,4.585057%
Revenue % of GB,Airasiago ID,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago ID,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago ID,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago ID,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago ID,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago ID,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago ID,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago ID,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago ID,Merchant,Hotel,17.284524%,17.361864%,17.011734%,17.069224%,17.023601%,17.176989%,17.058103%,17.043945%,16.951827%,16.829088%,17.036522%,16.871963%
GP % of GB,Airasiago ID,Merchant,Hotel,14.806783%,14.884124%,14.533994%,14.591483%,14.545861%,14.699249%,14.580362%,14.566204%,14.474086%,14.351347%,14.558781%,14.394222%
Revenue % of GB,Airasiago ID,Agency,Hotel,17.819355%,6.607525%,19.529910%,19.523888%,19.535055%,19.733486%,19.709411%,19.437775%,19.385140%,19.685978%,19.255576%,19.064863%
GP % of GB,Airasiago ID,Agency,Hotel,16.618652%,5.406822%,18.329208%,18.323186%,18.334353%,18.532784%,18.508709%,18.237073%,18.184438%,18.485276%,18.054874%,17.864161%
Revenue % of GB,Airasiago ID,Not Applicable,EPackage,4.839424%,4.917494%,4.718826%,4.331379%,8.925947%,4.484179%,4.227786%,4.634383%,5.271257%,5.115591%,4.137932%,4.998644%
GP % of GB,Airasiago ID,Not Applicable,EPackage,3.918463%,3.996534%,3.797866%,3.410419%,8.004986%,3.563218%,3.306825%,3.713422%,4.350297%,4.194630%,3.216972%,4.077683%
Revenue % of GB,Airasiago ID,Merchant,Tshop,16.721729%,18.646470%,17.543549%,17.384709%,16.706026%,16.358271%,16.017764%,15.772408%,15.845111%,15.864549%,15.324460%,15.289938%
GP % of GB,Airasiago ID,Merchant,Tshop,14.015446%,15.940186%,14.837265%,14.678426%,13.999743%,13.651988%,13.311480%,13.066124%,13.138827%,13.158266%,12.618176%,12.583655%
Revenue % of GB,Airasiago ID,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
