Account, Point of Sale,   Business Type,   Product,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
Revenue % of GB,Expedia FI,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia FI,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia FI,Merchant,Hotel,17.149311%,17.247184%,17.357302%,17.311656%,17.268781%,17.235894%,17.286585%,17.182400%,17.109188%,16.986830%,16.781121%,16.774414%
GP % of GB,Expedia FI,Merchant,Hotel,17.565724%,15.629781%,16.524192%,16.667603%,16.725571%,16.537459%,16.662709%,16.750861%,16.550024%,16.567451%,16.296864%,15.761348%
Revenue % of GB,Expedia FI,Agency,Hotel,6.788096%,10.216624%,17.325942%,17.270490%,17.393866%,17.206951%,17.151154%,17.070987%,17.262900%,17.169979%,16.850408%,17.186120%
GP % of GB,Expedia FI,Agency,Hotel,7.286440%,7.885136%,15.979220%,16.367252%,16.452517%,15.997030%,15.925414%,16.289568%,16.477700%,16.234861%,15.868621%,15.442349%
Revenue % of GB,Expedia FI,Not Applicable,EPackage,5.436482%,5.233295%,5.356048%,5.598476%,5.142193%,5.215719%,4.650050%,4.941976%,5.039262%,4.625610%,4.638366%,5.013796%
GP % of GB,Expedia FI,Not Applicable,EPackage,5.034268%,3.520303%,4.642053%,4.925530%,4.461558%,4.465707%,3.843168%,4.167062%,4.170095%,3.728271%,3.744892%,3.892714%
Revenue % of GB,Expedia FI,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia FI,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia FI,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia FI,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia FI,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia FI,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AT,Not Applicable,3P Package,14.802267%,15.046200%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AT,Not Applicable,3P Package,14.802267%,15.046200%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AT,Agency,Flight,3.304303%,2.637725%,2.775430%,2.178014%,2.474105%,3.045456%,2.659411%,2.419856%,3.451055%,2.927539%,2.250774%,3.145194%
GP % of GB,Expedia AT,Agency,Flight,3.016121%,2.301400%,2.544840%,1.917998%,2.185965%,2.761022%,2.379856%,2.086424%,3.095716%,2.594137%,1.870490%,2.727855%
Revenue % of GB,Expedia AT,Merchant,Flight,1.314731%,1.438600%,0.898839%,0.875861%,0.079986%,0.079979%,0.081097%,0.035392%,0.024973%,0.032359%,0.041117%,0.035892%
GP % of GB,Expedia AT,Merchant,Flight,0.470984%,0.486941%,-0.017137%,-0.440134%,-0.954380%,-0.867876%,-0.964231%,-1.160851%,-1.102264%,-1.043542%,-0.875646%,-0.948675%
Revenue % of GB,Expedia AT,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AT,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AT,Merchant,Car,15.904311%,15.967824%,16.648334%,16.578334%,16.578334%,16.408334%,16.338334%,16.448334%,15.988334%,16.348334%,15.948334%,16.078334%
GP % of GB,Expedia AT,Merchant,Car,15.240902%,15.252887%,15.878383%,15.416378%,15.573683%,15.493774%,15.328071%,15.279930%,14.877649%,15.286310%,15.038558%,15.105941%
Revenue % of GB,Expedia AT,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AT,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AT,Merchant,Hotel,17.800282%,17.782183%,16.177524%,16.088793%,16.097648%,15.937598%,15.827894%,15.710977%,15.606798%,15.621500%,15.561742%,15.523377%
GP % of GB,Expedia AT,Merchant,Hotel,17.480352%,17.381346%,15.829474%,15.956944%,16.342842%,15.829007%,15.797571%,15.827707%,15.641351%,15.644483%,15.253647%,15.180657%
Revenue % of GB,Expedia AT,Agency,Hotel,7.105750%,7.238433%,14.942564%,14.719404%,14.691616%,14.574321%,14.527542%,14.402092%,14.267253%,14.285572%,14.190998%,14.151971%
GP % of GB,Expedia AT,Agency,Hotel,6.830142%,6.953596%,14.681903%,14.397211%,14.353606%,14.246933%,14.196343%,14.023467%,13.898829%,13.910618%,13.831344%,13.709092%
Revenue % of GB,Expedia AT,Not Applicable,EPackage,9.377251%,9.037924%,8.219522%,8.176339%,8.129961%,8.308806%,8.044709%,7.924846%,7.905922%,7.762735%,7.785549%,7.891089%
GP % of GB,Expedia AT,Not Applicable,EPackage,9.053263%,8.648344%,7.861718%,7.874120%,8.022823%,8.038815%,7.812774%,7.738799%,7.694284%,7.527047%,7.393211%,7.474664%
Revenue % of GB,Expedia AT,Merchant,Tshop,16.247331%,17.892949%,17.413792%,17.258951%,17.049648%,17.047391%,16.621105%,16.300189%,16.031879%,16.077731%,15.947244%,15.936333%
GP % of GB,Expedia AT,Merchant,Tshop,15.508946%,17.074331%,16.611215%,16.057319%,16.010329%,16.082284%,15.570978%,15.111477%,14.908115%,14.990577%,14.976779%,14.909428%
Revenue % of GB,Expedia AT,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AT,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AT,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AT,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CH,Not Applicable,3P Package,1.245677%,1.292578%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CH,Not Applicable,3P Package,1.245677%,1.292578%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CH,Agency,Flight,1.720270%,2.359984%,1.823434%,1.657588%,1.795762%,2.195328%,2.164638%,2.024438%,2.257406%,2.151719%,2.132266%,2.256678%
GP % of GB,Expedia CH,Agency,Flight,0.783103%,1.502752%,1.471142%,1.290477%,1.368375%,1.699355%,1.632213%,1.499728%,1.718025%,1.581969%,1.543076%,1.670658%
Revenue % of GB,Expedia CH,Merchant,Flight,0.590858%,0.735995%,0.190423%,-0.311079%,-0.224694%,-0.399872%,-0.577098%,-0.412858%,-0.249881%,-0.161201%,0.301764%,0.333827%
GP % of GB,Expedia CH,Merchant,Flight,-1.673334%,-2.163075%,-1.705363%,-2.362936%,-2.064686%,-2.238711%,-2.559135%,-2.180023%,-2.047755%,-2.002146%,-1.471585%,-1.565642%
Revenue % of GB,Expedia CH,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CH,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CH,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CH,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CH,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CH,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CH,Merchant,Hotel,18.034348%,18.161126%,18.264982%,18.198903%,18.175606%,18.121078%,18.046902%,17.957201%,17.971518%,17.906096%,17.817955%,17.776836%
GP % of GB,Expedia CH,Merchant,Hotel,17.168546%,17.144300%,16.937737%,17.177393%,17.279243%,16.990799%,17.298739%,17.019507%,17.042388%,17.453495%,16.631541%,16.579589%
Revenue % of GB,Expedia CH,Agency,Hotel,8.806960%,9.799123%,15.835605%,15.774717%,15.743645%,15.697374%,15.656023%,15.588017%,15.573618%,15.496511%,15.425940%,15.419431%
GP % of GB,Expedia CH,Agency,Hotel,8.135512%,9.196406%,15.212304%,15.059936%,15.041417%,15.032350%,14.938181%,14.912098%,14.808866%,14.610211%,14.703653%,14.559233%
Revenue % of GB,Expedia CH,Not Applicable,EPackage,8.972901%,9.049427%,8.749306%,9.040676%,9.011019%,9.144222%,8.719678%,8.815135%,8.731845%,8.481166%,8.473901%,8.493223%
GP % of GB,Expedia CH,Not Applicable,EPackage,7.965892%,7.884409%,7.767527%,8.189672%,8.148217%,8.148948%,8.004340%,7.921209%,7.846793%,7.837134%,7.405570%,7.441056%
Revenue % of GB,Expedia CH,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CH,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CH,Not Applicable,Insurance,51.327839%,51.158272%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CH,Merchant,Insurance,51.327839%,51.158272%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CH,Not Applicable,Insurance,49.859425%,49.750207%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CH,Merchant,Insurance,49.859425%,49.750207%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CN,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CN,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CN,Agency,Flight,3.118677%,2.836736%,2.495455%,2.241662%,2.255732%,2.512207%,2.171215%,2.061979%,2.518264%,2.189131%,2.164463%,2.769619%
GP % of GB,Expedia CN,Agency,Flight,1.798108%,1.201276%,0.982506%,0.474035%,0.559222%,0.817987%,0.538861%,0.325448%,0.605465%,0.396373%,0.292408%,0.533565%
Revenue % of GB,Expedia CN,Merchant,Flight,1.245356%,1.404132%,0.980402%,1.015917%,0.980442%,0.762432%,0.815543%,1.200849%,1.268186%,1.119266%,0.754542%,0.898953%
GP % of GB,Expedia CN,Merchant,Flight,0.069930%,-0.074315%,-0.421574%,-0.691809%,-0.463663%,-0.789307%,-0.792711%,-0.585736%,-0.482888%,-0.611607%,-0.887708%,-0.961746%
Revenue % of GB,Expedia CN,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CN,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CN,Merchant,Car,16.290793%,16.560201%,17.005157%,17.055157%,17.295157%,17.305157%,17.145157%,17.045157%,16.935157%,16.845157%,16.905157%,17.005157%
GP % of GB,Expedia CN,Merchant,Car,15.425526%,15.543596%,15.964817%,15.719995%,16.200027%,16.136403%,15.925805%,15.639212%,15.521974%,15.420880%,15.581183%,15.521980%
Revenue % of GB,Expedia CN,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CN,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CN,Merchant,Hotel,17.778545%,17.748432%,17.909691%,17.866041%,17.820059%,17.789881%,17.727680%,17.695386%,17.669407%,17.531191%,17.477509%,17.476991%
GP % of GB,Expedia CN,Merchant,Hotel,17.002221%,16.947594%,17.082421%,17.079369%,17.226086%,17.108714%,17.025873%,17.069117%,17.066952%,16.899474%,16.693078%,16.395488%
Revenue % of GB,Expedia CN,Agency,Hotel,6.562494%,10.527862%,17.501157%,17.472323%,17.441807%,17.410821%,17.406860%,17.311505%,17.328973%,17.217993%,17.339320%,17.324475%
GP % of GB,Expedia CN,Agency,Hotel,5.908269%,9.740129%,16.749268%,16.715421%,16.718535%,16.630132%,16.640471%,16.427800%,16.486087%,16.384455%,16.488452%,16.285506%
Revenue % of GB,Expedia CN,Not Applicable,EPackage,10.084967%,9.749634%,9.645014%,9.554538%,9.588958%,9.594304%,9.391468%,9.393270%,9.661137%,9.385781%,9.275386%,9.631957%
GP % of GB,Expedia CN,Not Applicable,EPackage,8.752379%,7.961634%,8.134403%,7.980529%,8.189822%,8.137842%,7.928602%,7.849215%,8.023928%,7.746290%,7.545191%,7.697364%
Revenue % of GB,Expedia CN,Merchant,Tshop,17.891048%,17.502039%,16.840315%,16.740371%,16.464126%,16.353367%,16.145955%,16.019317%,16.044638%,16.328725%,16.592693%,16.763781%
GP % of GB,Expedia CN,Merchant,Tshop,14.922895%,14.497374%,14.348815%,14.060795%,14.120410%,13.885011%,13.730877%,13.408579%,13.363769%,13.277726%,13.377908%,13.251043%
Revenue % of GB,Expedia CN,Not Applicable,Insurance,43.430896%,43.012655%,44.687512%,44.558059%,44.570162%,44.612889%,44.622590%,44.620644%,44.603890%,44.630212%,44.604014%,44.667178%
Revenue % of GB,Expedia CN,Merchant,Insurance,43.430896%,43.012655%,44.687512%,44.558059%,44.570162%,44.612889%,44.622590%,44.620644%,44.603890%,44.630212%,44.604014%,44.667178%
GP % of GB,Expedia CN,Not Applicable,Insurance,42.760283%,42.186932%,43.800577%,43.382806%,43.627992%,43.574029%,43.537641%,43.383727%,43.389658%,43.428755%,43.484949%,43.383935%
GP % of GB,Expedia CN,Merchant,Insurance,42.760283%,42.186932%,43.800577%,43.382806%,43.627992%,43.574029%,43.537641%,43.383727%,43.389658%,43.428755%,43.484949%,43.383935%
Revenue % of GB,Expedia HW,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia HW,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia HW,Agency,Flight,2.306469%,2.072269%,2.324943%,2.175105%,2.192262%,2.303996%,2.085336%,2.132761%,2.385944%,2.159373%,2.119852%,2.374247%
GP % of GB,Expedia HW,Agency,Flight,1.584804%,1.429246%,1.620179%,1.452510%,1.471319%,1.580824%,1.342339%,1.313111%,1.557758%,1.259034%,1.265719%,1.464245%
Revenue % of GB,Expedia HW,Merchant,Flight,15.351866%,14.707601%,14.740577%,14.574676%,14.187269%,14.569960%,15.235199%,15.412716%,14.825577%,15.194482%,15.322025%,15.343083%
GP % of GB,Expedia HW,Merchant,Flight,12.288652%,12.041830%,11.523829%,11.185406%,10.750422%,11.364303%,11.996568%,11.927049%,11.378851%,11.546795%,11.552120%,11.307700%
Revenue % of GB,Expedia HW,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia HW,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia HW,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia HW,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia HW,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia HW,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia HW,Merchant,Hotel,19.760611%,18.887256%,18.047037%,18.139841%,17.905331%,17.824417%,17.443018%,17.701705%,18.215227%,18.237596%,18.545263%,18.618141%
GP % of GB,Expedia HW,Merchant,Hotel,17.541296%,16.786740%,15.875348%,16.041280%,15.704232%,15.532525%,15.165419%,15.431700%,15.875352%,16.112728%,16.289982%,16.374636%
Revenue % of GB,Expedia HW,Agency,Hotel,15.990420%,15.456584%,15.704235%,15.694276%,15.673754%,15.646644%,15.594684%,15.521378%,15.499133%,15.478821%,15.479457%,15.419494%
GP % of GB,Expedia HW,Agency,Hotel,14.900620%,14.793333%,14.977905%,14.778632%,14.797364%,14.817108%,14.846507%,14.793320%,14.683719%,14.630250%,14.601453%,14.345232%
Revenue % of GB,Expedia HW,Not Applicable,EPackage,11.711781%,11.037654%,10.196442%,9.882367%,9.599097%,9.789802%,9.368808%,9.704716%,10.453249%,10.091587%,10.040131%,10.291156%
GP % of GB,Expedia HW,Not Applicable,EPackage,9.506337%,9.095066%,7.574221%,6.949740%,6.688100%,6.882347%,6.404112%,6.577885%,7.241980%,6.720206%,6.600047%,6.400246%
Revenue % of GB,Expedia HW,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia HW,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia HW,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia HW,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia HW,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia HW,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Agency,Flight,0.149244%,0.166922%,0.149245%,0.149245%,0.149245%,0.149245%,0.149245%,0.149245%,0.149245%,0.149245%,0.149245%,0.149245%
GP % of GB,Expedia IN,Agency,Flight,-0.297492%,-0.413851%,-0.336925%,-0.378093%,-0.340097%,-0.378071%,-0.276155%,-0.191934%,-0.218839%,-0.251759%,-0.325727%,-0.328899%
Revenue % of GB,Expedia IN,Merchant,Flight,0.000000%,0.746731%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Merchant,Flight,0.000000%,0.746731%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Merchant,Hotel,16.585675%,16.183800%,16.325660%,16.204290%,16.233310%,16.142440%,16.019195%,15.957090%,15.966859%,15.856307%,15.723646%,15.765838%
GP % of GB,Expedia IN,Merchant,Hotel,14.691559%,14.034233%,13.778737%,13.484169%,14.054005%,13.875904%,13.475677%,13.312523%,13.429359%,13.422363%,13.012231%,13.045920%
Revenue % of GB,Expedia IN,Agency,Hotel,16.420254%,11.645538%,15.802374%,15.803410%,15.667796%,15.692113%,15.485984%,15.499124%,15.391029%,15.332237%,15.389517%,15.350967%
GP % of GB,Expedia IN,Agency,Hotel,15.667137%,10.929008%,15.198462%,15.192877%,15.067554%,15.017890%,14.808676%,14.854982%,14.728047%,14.615374%,14.656115%,14.469663%
Revenue % of GB,Expedia IN,Not Applicable,EPackage,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Not Applicable,EPackage,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Merchant,Tshop,17.387658%,17.633751%,17.459992%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Merchant,Tshop,11.876454%,12.251956%,10.463846%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IN,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IN,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia SG,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia SG,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia SG,Agency,Flight,3.735392%,3.117604%,3.917961%,3.756676%,3.998671%,4.306274%,4.220071%,4.420963%,4.473505%,4.397637%,4.407620%,4.246141%
GP % of GB,Expedia SG,Agency,Flight,1.955980%,0.889252%,2.179634%,2.146804%,2.254384%,2.438963%,2.511862%,2.491710%,2.606912%,2.584603%,2.490021%,2.287363%
Revenue % of GB,Expedia SG,Merchant,Flight,3.162869%,2.196142%,2.577987%,2.643489%,2.915408%,2.915363%,2.866774%,2.852551%,2.746927%,2.735169%,2.624938%,2.649154%
GP % of GB,Expedia SG,Merchant,Flight,-0.375577%,-1.900100%,-0.589569%,-0.535930%,-0.330326%,-0.403352%,-0.333116%,-0.351031%,-0.406784%,-0.420597%,-0.526935%,-0.650056%
Revenue % of GB,Expedia SG,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia SG,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia SG,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
